               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.025199,            0.034935,           0.0045946,             0.85968,             0.77695,              0.8553,             0.54998,            0.028282,           0.0093417,           0.0050812,            0.005545,            0.005545,            0.005545
                  47,            0.024683,            0.034535,           0.0050133,             0.88361,             0.77862,             0.86364,              0.5458,            0.027842,           0.0087029,           0.0030919,            0.005446,            0.005446,            0.005446
                  48,            0.024382,            0.034195,            0.004491,             0.81341,             0.85935,             0.87459,             0.55846,            0.027958,           0.0087425,           0.0026069,            0.005347,            0.005347,            0.005347
                  49,            0.024628,            0.034828,           0.0042777,             0.85254,             0.78273,             0.85922,               0.559,            0.027437,           0.0090665,           0.0029861,            0.005248,            0.005248,            0.005248
                  50,            0.024027,            0.034161,           0.0046189,             0.84916,             0.86585,                0.88,             0.54128,            0.028604,            0.009048,           0.0037193,            0.005149,            0.005149,            0.005149
                  51,            0.024292,            0.033599,           0.0040234,              0.8374,             0.77963,             0.86038,             0.55171,            0.026141,           0.0086637,           0.0030676,             0.00505,             0.00505,             0.00505
                  52,            0.024238,            0.033291,            0.004069,             0.86207,             0.85668,              0.8995,             0.59083,            0.028048,           0.0084297,            0.003135,            0.004951,            0.004951,            0.004951
                  53,            0.024285,             0.03392,           0.0041078,             0.92658,             0.79969,             0.89996,             0.57203,             0.02798,           0.0082668,           0.0027298,            0.004852,            0.004852,            0.004852
                  54,            0.024227,            0.034595,           0.0039143,             0.85728,               0.813,             0.87578,             0.55185,            0.027289,           0.0086259,           0.0024363,            0.004753,            0.004753,            0.004753
                  55,            0.024569,            0.032865,            0.004239,             0.79335,             0.81721,             0.87074,             0.58624,            0.026276,           0.0086656,           0.0026126,            0.004654,            0.004654,            0.004654
                  56,            0.023333,            0.034277,           0.0040009,             0.86011,              0.8258,             0.86743,             0.52306,            0.028638,           0.0093023,           0.0030151,            0.004555,            0.004555,            0.004555
                  57,             0.02282,            0.033084,           0.0036119,             0.86342,             0.83504,             0.88357,             0.56695,             0.02669,           0.0086452,           0.0034645,            0.004456,            0.004456,            0.004456
                  58,            0.023166,            0.032744,           0.0044534,              0.8692,             0.87396,             0.88631,             0.58799,            0.026555,           0.0086703,           0.0033362,            0.004357,            0.004357,            0.004357
                  59,            0.023135,            0.033342,           0.0048423,             0.89264,             0.86263,              0.8938,             0.57866,            0.027159,           0.0090565,           0.0039781,            0.004258,            0.004258,            0.004258
                  60,            0.022381,            0.030644,           0.0045477,             0.88307,              0.8322,             0.87749,             0.54858,            0.027419,           0.0087571,           0.0029789,            0.004159,            0.004159,            0.004159
                  61,            0.021989,            0.031097,           0.0038058,             0.84879,             0.78584,              0.8547,             0.56352,            0.025923,           0.0091524,           0.0028327,             0.00406,             0.00406,             0.00406
                  62,             0.02231,            0.032177,           0.0054498,             0.80212,             0.83479,              0.8628,              0.5888,            0.025466,           0.0088177,           0.0033785,            0.003961,            0.003961,            0.003961
                  63,            0.022108,            0.031646,            0.003836,             0.81718,             0.82087,             0.85431,             0.58872,             0.02594,           0.0088508,           0.0018524,            0.003862,            0.003862,            0.003862
                  64,            0.021694,            0.031351,           0.0034586,             0.87889,             0.85479,             0.89735,             0.59003,            0.026746,           0.0088249,           0.0026003,            0.003763,            0.003763,            0.003763
                  65,            0.022133,            0.031158,           0.0037309,             0.89014,             0.87054,             0.89857,             0.59217,            0.026669,           0.0080873,           0.0024664,            0.003664,            0.003664,            0.003664
                  66,            0.021365,             0.03129,           0.0032581,             0.88847,             0.85954,             0.90272,             0.59595,             0.02694,             0.00838,           0.0027729,            0.003565,            0.003565,            0.003565
                  67,            0.022003,             0.03099,           0.0034505,             0.87919,             0.85664,             0.89581,             0.59693,            0.025661,           0.0082408,           0.0031876,            0.003466,            0.003466,            0.003466
                  68,            0.021207,            0.029899,           0.0034982,             0.85982,             0.80898,             0.87996,             0.57592,            0.026301,           0.0087128,           0.0032283,            0.003367,            0.003367,            0.003367
                  69,            0.021575,            0.030857,           0.0033619,             0.81186,             0.87851,             0.89026,             0.60694,             0.02574,           0.0083862,           0.0021018,            0.003268,            0.003268,            0.003268
                  70,            0.021187,            0.029802,           0.0035731,             0.88272,             0.82715,             0.88886,             0.60708,            0.026044,           0.0084325,           0.0032304,            0.003169,            0.003169,            0.003169
                  71,            0.020674,            0.029431,           0.0032348,             0.86467,             0.81884,             0.88066,             0.58734,             0.02629,           0.0085829,           0.0026228,             0.00307,             0.00307,             0.00307
                  72,            0.020539,            0.029857,           0.0028983,             0.92306,             0.81701,             0.90009,             0.61777,            0.025888,            0.008423,            0.003818,            0.002971,            0.002971,            0.002971
                  73,            0.021048,            0.030092,             0.00326,             0.87245,             0.89074,             0.89907,              0.6101,            0.026305,            0.008227,           0.0023992,            0.002872,            0.002872,            0.002872
                  74,            0.020741,            0.028862,           0.0029752,              0.9062,             0.82875,             0.90503,             0.61062,            0.025573,           0.0082924,           0.0025198,            0.002773,            0.002773,            0.002773
                  75,            0.021145,            0.029973,            0.003494,             0.92564,             0.87137,             0.90883,             0.61834,            0.025617,            0.008626,           0.0025072,            0.002674,            0.002674,            0.002674
                  76,            0.020193,            0.029228,           0.0027734,             0.90225,              0.8635,             0.90952,             0.59889,             0.02588,           0.0085106,           0.0026497,            0.002575,            0.002575,            0.002575
                  77,            0.020188,            0.028653,           0.0030812,             0.90206,             0.88898,             0.91403,             0.60125,            0.025615,           0.0081703,           0.0022694,            0.002476,            0.002476,            0.002476
                  78,            0.019724,            0.028292,           0.0031146,              0.9046,             0.85157,             0.89198,             0.60954,            0.025762,           0.0084596,           0.0025697,            0.002377,            0.002377,            0.002377
                  79,            0.019769,            0.027308,           0.0029571,             0.90942,             0.87181,             0.89444,             0.59247,            0.025739,           0.0082047,           0.0020805,            0.002278,            0.002278,            0.002278
                  80,            0.019946,            0.027932,           0.0028216,             0.91141,             0.88051,             0.91033,             0.61144,            0.025821,            0.008335,           0.0023329,            0.002179,            0.002179,            0.002179
                  81,            0.019654,            0.027827,           0.0038009,              0.8875,             0.88976,             0.91475,             0.62026,            0.025354,           0.0082862,           0.0025127,             0.00208,             0.00208,             0.00208
                  82,            0.019524,            0.028552,           0.0030003,             0.86632,             0.88973,             0.91418,             0.59813,            0.025775,           0.0082777,           0.0029738,            0.001981,            0.001981,            0.001981
                  83,            0.019446,             0.02642,           0.0024486,             0.93001,             0.85261,             0.91452,              0.6219,            0.025352,           0.0080753,           0.0028954,            0.001882,            0.001882,            0.001882
                  84,            0.019277,            0.027577,            0.002652,             0.84613,             0.87896,             0.89393,             0.61227,            0.025394,           0.0083236,           0.0028656,            0.001783,            0.001783,            0.001783
                  85,            0.019369,            0.027672,           0.0024878,             0.89595,             0.88039,             0.89328,             0.61931,            0.025179,           0.0084043,           0.0022128,            0.001684,            0.001684,            0.001684
